"id","utt","exp","race","gender","question","response","condition"
"R_1g7VpkyuPQOKlHy","bad","smile","L","M","true state","2","bad smile"
"R_1g7VpkyuPQOKlHy","bad","frown","W","M","true state","1","bad frown"
"R_2tyfTx1GYzwsfhW","good","frown","L","M","true state","1","good frown"
"R_2tyfTx1GYzwsfhW","good","smile","B","F","true state","5","good smile"
"R_2tyfTx1GYzwsfhW","bad","smile","W","M","true state","2","bad smile"
"R_2tyfTx1GYzwsfhW","bad","frown","A","F","true state","1","bad frown"
"R_3R3AXZMU6b0BGcu","good","smile","A","F","true state","3","good smile"
"R_3R3AXZMU6b0BGcu","good","frown","B","F","true state","1","good frown"
"R_3R3AXZMU6b0BGcu","bad","smile","L","M","true state","3","bad smile"
"R_3R3AXZMU6b0BGcu","bad","frown","W","M","true state","1","bad frown"
"R_12x4qvQwDPJeIfp","good","frown","L","M","true state","4","good frown"
"R_12x4qvQwDPJeIfp","good","smile","B","F","true state","4","good smile"
"R_12x4qvQwDPJeIfp","bad","smile","W","M","true state","1","bad smile"
"R_12x4qvQwDPJeIfp","bad","frown","A","F","true state","1","bad frown"
"R_10GHlp6xc24IzZQ","good","frown","L","M","true state","2","good frown"
"R_10GHlp6xc24IzZQ","good","smile","B","F","true state","5","good smile"
"R_10GHlp6xc24IzZQ","bad","frown","W","M","true state","1","bad frown"
"R_10GHlp6xc24IzZQ","bad","smile","A","F","true state","4","bad smile"
"R_UisTD7GrvnOx8o9","good","smile","A","F","true state","5","good smile"
"R_UisTD7GrvnOx8o9","good","frown","W","M","true state","2","good frown"
"R_UisTD7GrvnOx8o9","bad","frown","B","F","true state","1","bad frown"
"R_UisTD7GrvnOx8o9","bad","smile","L","M","true state","2","bad smile"
"R_d0QyMDeX2gL6MwN","good","smile","A","F","true state","5","good smile"
"R_d0QyMDeX2gL6MwN","good","frown","W","M","true state","4","good frown"
"R_d0QyMDeX2gL6MwN","bad","frown","B","F","true state","3","bad frown"
"R_d0QyMDeX2gL6MwN","bad","smile","L","M","true state","4","bad smile"
"R_2Wu4xahl4HbWUkE","good","frown","W","M","true state","1","good frown"
"R_2Wu4xahl4HbWUkE","good","smile","B","F","true state","5","good smile"
"R_2Wu4xahl4HbWUkE","bad","smile","L","M","true state","1","bad smile"
"R_2Wu4xahl4HbWUkE","bad","frown","A","F","true state","1","bad frown"
"R_yjOIsmueYqP069X","good","smile","W","M","true state","5","good smile"
"R_yjOIsmueYqP069X","good","frown","A","F","true state","3","good frown"
"R_yjOIsmueYqP069X","bad","frown","L","M","true state","2","bad frown"
"R_yjOIsmueYqP069X","bad","smile","B","F","true state","2","bad smile"
"R_2cucMxsVmzJpYp9","good","smile","W","M","true state","5","good smile"
"R_2cucMxsVmzJpYp9","good","frown","A","F","true state","3","good frown"
"R_2cucMxsVmzJpYp9","bad","frown","B","F","true state","1","bad frown"
"R_2cucMxsVmzJpYp9","bad","smile","L","M","true state","4","bad smile"
"FS_25WCjrlqVOJyo1j","good","frown","W","M","true state","1","good frown"
"FS_25WCjrlqVOJyo1j","good","smile","B","F","true state","5","good smile"
"FS_25WCjrlqVOJyo1j","bad","smile","L","M","true state","1","bad smile"
"FS_25WCjrlqVOJyo1j","bad","frown","A","F","true state","1","bad frown"
"FS_xgXWp91rHv2AlvX","good","frown","W","M","true state","2","good frown"
"FS_xgXWp91rHv2AlvX","good","smile","B","F","true state","5","good smile"
"FS_xgXWp91rHv2AlvX","bad","frown","L","M","true state","1","bad frown"
"FS_xgXWp91rHv2AlvX","bad","smile","A","F","true state","2","bad smile"
"FS_1pM73AeFTs5IbgZ","good","smile","L","M","true state","5","good smile"
"FS_1pM73AeFTs5IbgZ","good","frown","A","F","true state","3","good frown"
"FS_1pM73AeFTs5IbgZ","bad","smile","B","F","true state","2","bad smile"
"FS_1pM73AeFTs5IbgZ","bad","frown","W","M","true state","2","bad frown"
"FS_1CfO6sBJ34cgdhY","good","frown","L","M","true state","1","good frown"
"FS_1CfO6sBJ34cgdhY","good","smile","W","M","true state","4","good smile"
"FS_1CfO6sBJ34cgdhY","bad","frown","B","F","true state","1","bad frown"
"FS_1CfO6sBJ34cgdhY","bad","smile","A","F","true state","3","bad smile"
"FS_2zO4TPe3trgDWJI","good","smile","B","F","true state","6","good smile"
"FS_2zO4TPe3trgDWJI","good","frown","A","F","true state","3","good frown"
"FS_2zO4TPe3trgDWJI","bad","smile","W","M","true state","2","bad smile"
"FS_2zO4TPe3trgDWJI","bad","frown","L","M","true state","1","bad frown"
"FS_UsyfwB48zsTLpjX","good","smile","W","M","true state","5","good smile"
"FS_UsyfwB48zsTLpjX","good","frown","A","F","true state","2","good frown"
"FS_UsyfwB48zsTLpjX","bad","frown","B","F","true state","1","bad frown"
"FS_UsyfwB48zsTLpjX","bad","smile","L","M","true state","4","bad smile"
"FS_vkLEYkPv1krl2tr","good","frown","B","F","true state","2","good frown"
"FS_vkLEYkPv1krl2tr","good","smile","L","M","true state","4","good smile"
"FS_vkLEYkPv1krl2tr","bad","frown","W","M","true state","1","bad frown"
"FS_vkLEYkPv1krl2tr","bad","smile","A","F","true state","2","bad smile"
"FS_3phGkYPC0Lku1F2","good","frown","B","F","true state","1","good frown"
"FS_3phGkYPC0Lku1F2","good","smile","W","M","true state","4","good smile"
"FS_3phGkYPC0Lku1F2","bad","frown","L","M","true state","6","bad frown"
"FS_3phGkYPC0Lku1F2","bad","smile","A","F","true state","3","bad smile"
"FS_3k063PNJn7AjuMb","good","frown","B","F","true state","4","good frown"
"FS_3k063PNJn7AjuMb","good","smile","L","M","true state","5","good smile"
"FS_3k063PNJn7AjuMb","bad","frown","W","M","true state","1","bad frown"
"FS_3k063PNJn7AjuMb","bad","smile","A","F","true state","1","bad smile"
"FS_3LhhfZz6Uf5dY8O","good","frown","B","F","true state","3","good frown"
"FS_3LhhfZz6Uf5dY8O","good","smile","W","M","true state","5","good smile"
"FS_3LhhfZz6Uf5dY8O","bad","frown","L","M","true state","1","bad frown"
"FS_3LhhfZz6Uf5dY8O","bad","smile","A","F","true state","2","bad smile"
"FS_1g5EIWwwAjlZSWu","good","frown","B","F","true state","4","good frown"
"FS_1g5EIWwwAjlZSWu","good","smile","W","M","true state","5","good smile"
"FS_1g5EIWwwAjlZSWu","bad","frown","L","M","true state","1","bad frown"
"FS_1g5EIWwwAjlZSWu","bad","smile","A","F","true state","2","bad smile"
"FS_2rqMqWZcbCkB2Js","good","frown","W","M","true state","1","good frown"
"FS_2rqMqWZcbCkB2Js","good","smile","B","F","true state","4","good smile"
"FS_2rqMqWZcbCkB2Js","bad","smile","L","M","true state","3","bad smile"
"FS_2rqMqWZcbCkB2Js","bad","frown","A","F","true state","2","bad frown"
"FS_2WAprAEOrTSizEC","good","frown","W","M","true state","1","good frown"
"FS_2WAprAEOrTSizEC","good","smile","B","F","true state","5","good smile"
"FS_2WAprAEOrTSizEC","bad","smile","L","M","true state","3","bad smile"
"FS_2WAprAEOrTSizEC","bad","frown","A","F","true state","1","bad frown"
"FS_2flY1zKqqjlIEdY","good","smile","W","M","true state","4","good smile"
"FS_2flY1zKqqjlIEdY","good","frown","A","F","true state","1","good frown"
"FS_2flY1zKqqjlIEdY","bad","frown","L","M","true state","1","bad frown"
"FS_2flY1zKqqjlIEdY","bad","smile","B","F","true state","1","bad smile"
"FS_1prtZCzmY13Y9Ge","good","smile","B","F","true state","5","good smile"
"FS_1prtZCzmY13Y9Ge","good","frown","A","F","true state","3","good frown"
"FS_1prtZCzmY13Y9Ge","bad","smile","W","M","true state","2","bad smile"
"FS_1prtZCzmY13Y9Ge","bad","frown","L","M","true state","1","bad frown"
"FS_3dQFl3seH541mUZ","good","frown","W","M","true state","1","good frown"
"FS_3dQFl3seH541mUZ","good","smile","L","M","true state","6","good smile"
"FS_3dQFl3seH541mUZ","bad","smile","B","F","true state","3","bad smile"
"FS_3dQFl3seH541mUZ","bad","frown","A","F","true state","1","bad frown"
"FS_2ykCMtT5lPpEfo3","good","frown","L","M","true state","1","good frown"
"FS_2ykCMtT5lPpEfo3","good","smile","B","F","true state","5","good smile"
"FS_2ykCMtT5lPpEfo3","bad","smile","W","M","true state","2","bad smile"
"FS_2ykCMtT5lPpEfo3","bad","frown","A","F","true state","1","bad frown"
"FS_2ypaUcgybrPZISh","good","frown","L","M","true state","2","good frown"
"FS_2ypaUcgybrPZISh","good","smile","W","M","true state","4","good smile"
"FS_2ypaUcgybrPZISh","bad","frown","B","F","true state","2","bad frown"
"FS_2ypaUcgybrPZISh","bad","smile","A","F","true state","3","bad smile"
"FS_1exDJStPImGHVkJ","good","smile","B","F","true state","5","good smile"
"FS_1exDJStPImGHVkJ","good","frown","A","F","true state","3","good frown"
"FS_1exDJStPImGHVkJ","bad","smile","W","M","true state","4","bad smile"
"FS_1exDJStPImGHVkJ","bad","frown","L","M","true state","4","bad frown"
"FS_5bSZPfQ6FumlPe9","good","smile","A","F","true state","2","good smile"
"FS_5bSZPfQ6FumlPe9","good","frown","L","M","true state","1","good frown"
"FS_5bSZPfQ6FumlPe9","bad","smile","W","M","true state","1","bad smile"
"FS_5bSZPfQ6FumlPe9","bad","frown","B","F","true state","2","bad frown"
"FS_2roxJaUxzWc5zcm","good","smile","B","F","true state","5","good smile"
"FS_2roxJaUxzWc5zcm","good","frown","A","F","true state","3","good frown"
"FS_2roxJaUxzWc5zcm","bad","smile","L","M","true state","5","bad smile"
"FS_2roxJaUxzWc5zcm","bad","frown","W","M","true state","2","bad frown"
"FS_21iEPYUuunjCmEf","good","frown","W","M","true state","1","good frown"
"FS_21iEPYUuunjCmEf","good","smile","L","M","true state","4","good smile"
"FS_21iEPYUuunjCmEf","bad","smile","B","F","true state","2","bad smile"
"FS_21iEPYUuunjCmEf","bad","frown","A","F","true state","1","bad frown"
"FS_1qfWHJfhjVFjxo1","good","frown","L","M","true state","1","good frown"
"FS_1qfWHJfhjVFjxo1","good","smile","W","M","true state","3","good smile"
"FS_1qfWHJfhjVFjxo1","bad","frown","B","F","true state","1","bad frown"
"FS_1qfWHJfhjVFjxo1","bad","smile","A","F","true state","2","bad smile"
"FS_2fm1Alm3Q0C8yEh","good","smile","B","F","true state","6","good smile"
"FS_2fm1Alm3Q0C8yEh","good","frown","A","F","true state","2","good frown"
"FS_2fm1Alm3Q0C8yEh","bad","smile","L","M","true state","6","bad smile"
"FS_2fm1Alm3Q0C8yEh","bad","frown","W","M","true state","1","bad frown"
"FS_3irFVHvD0tUUi9B","good","frown","B","F","true state","1","good frown"
"FS_3irFVHvD0tUUi9B","good","smile","L","M","true state","6","good smile"
"FS_3irFVHvD0tUUi9B","bad","smile","W","M","true state","3","bad smile"
"FS_3irFVHvD0tUUi9B","bad","frown","A","F","true state","1","bad frown"
"FS_C8FBtcWumKQAaL7","good","frown","L","M","true state","1","good frown"
"FS_C8FBtcWumKQAaL7","good","smile","B","F","true state","5","good smile"
"FS_C8FBtcWumKQAaL7","bad","smile","W","M","true state","4","bad smile"
"FS_C8FBtcWumKQAaL7","bad","frown","A","F","true state","2","bad frown"
"FS_3PnMeHXIHqV4BjK","good","smile","A","F","true state","5","good smile"
"FS_3PnMeHXIHqV4BjK","good","frown","B","F","true state","3","good frown"
"FS_3PnMeHXIHqV4BjK","bad","smile","L","M","true state","3","bad smile"
"FS_3PnMeHXIHqV4BjK","bad","frown","W","M","true state","2","bad frown"
"FS_3j1byrJU3G3v54c","good","frown","W","M","true state","2","good frown"
"FS_3j1byrJU3G3v54c","good","smile","B","F","true state","6","good smile"
"FS_3j1byrJU3G3v54c","bad","frown","L","M","true state","1","bad frown"
"FS_3j1byrJU3G3v54c","bad","smile","A","F","true state","3","bad smile"
"FS_2X1mHg1tiRkQ44q","good","frown","W","M","true state","1","good frown"
"FS_2X1mHg1tiRkQ44q","good","smile","B","F","true state","6","good smile"
"FS_2X1mHg1tiRkQ44q","bad","smile","L","M","true state","6","bad smile"
"FS_2X1mHg1tiRkQ44q","bad","frown","A","F","true state","1","bad frown"
"FS_3qPXHMY9Ezobz8c","good","frown","W","M","true state","1","good frown"
"FS_3qPXHMY9Ezobz8c","good","smile","L","M","true state","5","good smile"
"FS_3qPXHMY9Ezobz8c","bad","frown","B","F","true state","1","bad frown"
"FS_3qPXHMY9Ezobz8c","bad","smile","A","F","true state","5","bad smile"
"FS_viaEXSNiKo2CJ5n","good","frown","L","M","true state","1","good frown"
"FS_viaEXSNiKo2CJ5n","good","smile","B","F","true state","6","good smile"
"FS_viaEXSNiKo2CJ5n","bad","smile","W","M","true state","5","bad smile"
"FS_viaEXSNiKo2CJ5n","bad","frown","A","F","true state","2","bad frown"
"FS_pt9cOcR4MoF6qvD","good","smile","A","F","true state","5","good smile"
"FS_pt9cOcR4MoF6qvD","good","frown","L","M","true state","1","good frown"
"FS_pt9cOcR4MoF6qvD","bad","smile","W","M","true state","4","bad smile"
"FS_pt9cOcR4MoF6qvD","bad","frown","B","F","true state","1","bad frown"
"FS_2QfyMyRtl31310p","good","smile","L","M","true state","2","good smile"
"FS_2QfyMyRtl31310p","good","frown","A","F","true state","1","good frown"
"FS_2QfyMyRtl31310p","bad","smile","W","M","true state","1","bad smile"
"FS_2QfyMyRtl31310p","bad","frown","B","F","true state","1","bad frown"
